Index;Acte;Scène;Personnage;Nb de mots;Acteur
194;ACTE I;SCÈNE I;ARGAN;0;
197;ACTE I;SCÈNE II;TOINETTE;7;
199;ACTE I;SCÈNE II;ARGAN;0;
201;ACTE I;SCÈNE II;TOINETTE;0;
203;ACTE I;SCÈNE II;ARGAN;13;
205;ACTE I;SCÈNE II;TOINETTE;2;
207;ACTE I;SCÈNE II;ARGAN;6;
209;ACTE I;SCÈNE II;TOINETTE;2;
211;ACTE I;SCÈNE II;ARGAN;16;
213;ACTE I;SCÈNE II;TOINETTE;2;
215;ACTE I;SCÈNE II;ARGAN;14;
217;ACTE I;SCÈNE II;TOINETTE;2;
219;ACTE I;SCÈNE II;ARGAN;0;
221;ACTE I;SCÈNE II;TOINETTE;58;
223;ACTE I;SCÈNE II;ARGAN;30;
225;ACTE I;SCÈNE II;TOINETTE;93;
227;ACTE I;SCÈNE II;ARGAN;12;
229;ACTE I;SCÈNE II;TOINETTE;30;
231;ACTE I;SCÈNE II;ARGAN;21;
233;ACTE I;SCÈNE II;TOINETTE;2;
235;ACTE I;SCÈNE II;ARGAN;15;
237;ACTE I;SCÈNE II;TOINETTE;2;
239;ACTE I;SCÈNE II;ARGAN;65;
241;ACTE I;SCÈNE II;TOINETTE;41;
243;ACTE I;SCÈNE II;ARGAN;55;
245;ACTE I;SCÈNE II;TOINETTE;129;
247;ACTE I;SCÈNE II;ARGAN;137;
249;ACTE I;SCÈNE II;TOINETTE;14;
251;ACTE I;SCÈNE II;ARGAN;30;
253;ACTE I;SCÈNE II;TOINETTE;114;
255;ACTE I;SCÈNE II;ARGAN;83;
257;ACTE I;SCÈNE II;TOINETTE;200;
259;ACTE I;SCÈNE II;ARGAN;154;
261;ACTE I;SCÈNE II;TOINETTE;91;
264;ACTE I;SCÈNE III;ARGAN;97;
268;ACTE I;SCÈNE III;ARGAN;60;
270;ACTE I;SCÈNE III;TOINETTE;167;
275;ACTE I;SCÈNE IV;TOINETTE;31;
279;ACTE I;SCÈNE IV;TOINETTE;40;
283;ACTE I;SCÈNE IV;TOINETTE;72;
287;ACTE I;SCÈNE IV;TOINETTE;307;
291;ACTE I;SCÈNE IV;TOINETTE;308;
295;ACTE I;SCÈNE IV;TOINETTE;73;
299;ACTE I;SCÈNE IV;TOINETTE;140;
303;ACTE I;SCÈNE IV;TOINETTE;160;
307;ACTE I;SCÈNE IV;TOINETTE;122;
311;ACTE I;SCÈNE IV;TOINETTE;59;
315;ACTE I;SCÈNE IV;TOINETTE;70;
319;ACTE I;SCÈNE IV;TOINETTE;76;
323;ACTE I;SCÈNE IV;TOINETTE;53;
327;ACTE I;SCÈNE IV;TOINETTE;80;
331;ACTE I;SCÈNE IV;TOINETTE;91;
335;ACTE I;SCÈNE IV;TOINETTE;188;
339;ACTE I;SCÈNE IV;TOINETTE;93;
343;ACTE I;SCÈNE IV;TOINETTE;262;
347;ACTE I;SCÈNE IV;TOINETTE;306;
351;ACTE I;SCÈNE IV;TOINETTE;60;
354;ACTE I;SCÈNE V;ARGAN;413;
358;ACTE I;SCÈNE V;ARGAN;168;
362;ACTE I;SCÈNE V;ARGAN;0;
364;ACTE I;SCÈNE V;TOINETTE;27;
366;ACTE I;SCÈNE V;ARGAN;155;
370;ACTE I;SCÈNE V;TOINETTE;102;
372;ACTE I;SCÈNE V;ARGAN;116;
376;ACTE I;SCÈNE V;ARGAN;309;
380;ACTE I;SCÈNE V;ARGAN;178;
384;ACTE I;SCÈNE V;ARGAN;34;
388;ACTE I;SCÈNE V;ARGAN;42;
392;ACTE I;SCÈNE V;ARGAN;39;
396;ACTE I;SCÈNE V;ARGAN;35;
400;ACTE I;SCÈNE V;ARGAN;45;
404;ACTE I;SCÈNE V;ARGAN;64;
408;ACTE I;SCÈNE V;ARGAN;62;
412;ACTE I;SCÈNE V;ARGAN;79;
416;ACTE I;SCÈNE V;ARGAN;61;
420;ACTE I;SCÈNE V;ARGAN;113;
424;ACTE I;SCÈNE V;ARGAN;87;
428;ACTE I;SCÈNE V;ARGAN;0;
432;ACTE I;SCÈNE V;TOINETTE;0;
434;ACTE I;SCÈNE V;ARGAN;51;
436;ACTE I;SCÈNE V;TOINETTE;206;
438;ACTE I;SCÈNE V;ARGAN;287;
440;ACTE I;SCÈNE V;TOINETTE;163;
442;ACTE I;SCÈNE V;ARGAN;61;
444;ACTE I;SCÈNE V;TOINETTE;295;
446;ACTE I;SCÈNE V;ARGAN;136;
448;ACTE I;SCÈNE V;TOINETTE;63;
450;ACTE I;SCÈNE V;ARGAN;22;
452;ACTE I;SCÈNE V;TOINETTE;34;
454;ACTE I;SCÈNE V;ARGAN;12;
456;ACTE I;SCÈNE V;TOINETTE;52;
458;ACTE I;SCÈNE V;ARGAN;25;
460;ACTE I;SCÈNE V;TOINETTE;3;
