Index;Acte;Scène;Personnage;Nb de mots;Acteur
193;ACTE I;SCÈNE I;ARGAN;0;
196;ACTE I;SCÈNE II;TOINETTE;7;
198;ACTE I;SCÈNE II;ARGAN;0;
200;ACTE I;SCÈNE II;TOINETTE;0;
202;ACTE I;SCÈNE II;ARGAN;13;
204;ACTE I;SCÈNE II;TOINETTE;2;
206;ACTE I;SCÈNE II;ARGAN;6;
208;ACTE I;SCÈNE II;TOINETTE;2;
210;ACTE I;SCÈNE II;ARGAN;16;
212;ACTE I;SCÈNE II;TOINETTE;2;
214;ACTE I;SCÈNE II;ARGAN;14;
216;ACTE I;SCÈNE II;TOINETTE;2;
218;ACTE I;SCÈNE II;ARGAN;0;
220;ACTE I;SCÈNE II;TOINETTE;58;
222;ACTE I;SCÈNE II;ARGAN;30;
224;ACTE I;SCÈNE II;TOINETTE;93;
226;ACTE I;SCÈNE II;ARGAN;12;
228;ACTE I;SCÈNE II;TOINETTE;30;
230;ACTE I;SCÈNE II;ARGAN;21;
232;ACTE I;SCÈNE II;TOINETTE;2;
234;ACTE I;SCÈNE II;ARGAN;15;
236;ACTE I;SCÈNE II;TOINETTE;2;
238;ACTE I;SCÈNE II;ARGAN;65;
240;ACTE I;SCÈNE II;TOINETTE;41;
242;ACTE I;SCÈNE II;ARGAN;55;
244;ACTE I;SCÈNE II;TOINETTE;129;
246;ACTE I;SCÈNE II;ARGAN;137;
248;ACTE I;SCÈNE II;TOINETTE;14;
250;ACTE I;SCÈNE II;ARGAN;30;
252;ACTE I;SCÈNE II;TOINETTE;114;
254;ACTE I;SCÈNE II;ARGAN;83;
256;ACTE I;SCÈNE II;TOINETTE;200;
258;ACTE I;SCÈNE II;ARGAN;154;
260;ACTE I;SCÈNE II;TOINETTE;91;
263;ACTE I;SCÈNE III;ARGAN;62;
265;ACTE I;SCÈNE III;ANGÉLIQUE;26;
267;ACTE I;SCÈNE III;ARGAN;60;
269;ACTE I;SCÈNE III;TOINETTE;94;
272;ACTE I;SCÈNE IV;ANGÉLIQUE;8;
274;ACTE I;SCÈNE IV;TOINETTE;4;
276;ACTE I;SCÈNE IV;ANGÉLIQUE;18;
278;ACTE I;SCÈNE IV;TOINETTE;23;
280;ACTE I;SCÈNE IV;ANGÉLIQUE;8;
282;ACTE I;SCÈNE IV;TOINETTE;21;
284;ACTE I;SCÈNE IV;ANGÉLIQUE;42;
286;ACTE I;SCÈNE IV;TOINETTE;167;
288;ACTE I;SCÈNE IV;ANGÉLIQUE;131;
290;ACTE I;SCÈNE IV;TOINETTE;97;
292;ACTE I;SCÈNE IV;ANGÉLIQUE;202;
294;ACTE I;SCÈNE IV;TOINETTE;13;
296;ACTE I;SCÈNE IV;ANGÉLIQUE;51;
298;ACTE I;SCÈNE IV;TOINETTE;18;
300;ACTE I;SCÈNE IV;ANGÉLIQUE;113;
302;ACTE I;SCÈNE IV;TOINETTE;16;
304;ACTE I;SCÈNE IV;ANGÉLIQUE;135;
306;ACTE I;SCÈNE IV;TOINETTE;3;
308;ACTE I;SCÈNE IV;ANGÉLIQUE;110;
310;ACTE I;SCÈNE IV;TOINETTE;3;
312;ACTE I;SCÈNE IV;ANGÉLIQUE;47;
314;ACTE I;SCÈNE IV;TOINETTE;8;
316;ACTE I;SCÈNE IV;ANGÉLIQUE;53;
